Found 9995 total meshes to process
[1/9995] [1 success|0 fail] [SUCCESS] model_100030.obj (took 0.03s | total elapsed: 0.17s)
[1787/9995] [1787 success|0 fail] [SUCCESS] model_1344054.obj (took 0.04s | total elapsed: 1.19s)
[1788/9995] [1788 success|0 fail] [SUCCESS] model_1344051.obj (took 0.04s | total elapsed: 1.19s)
[1789/9995] [1789 success|0 fail] [SUCCESS] model_1344056.obj (took 0.04s | total elapsed: 1.19s)
[1790/9995] [1790 success|0 fail] [SUCCESS] model_1344057.obj (took 0.04s | total elapsed: 1.19s)
[1791/9995] [1791 success|0 fail] [SUCCESS] model_1344055.obj (took 0.04s | total elapsed: 1.19s)
[1792/9995] [1792 success|0 fail] [SUCCESS] model_1344058.obj (took 0.04s | total elapsed: 1.19s)
[1793/9995] [1793 success|0 fail] [SUCCESS] model_1344061.obj (took 0.04s | total elapsed: 1.19s)
[1794/9995] [1794 success|0 fail] [SUCCESS] model_1344060.obj (took 0.04s | total elapsed: 1.19s)
[1795/9995] [1795 success|0 fail] [SUCCESS] model_134601.obj (took 0.04s | total elapsed: 1.19s)
[1796/9995] [1796 success|0 fail] [SUCCESS] model_134543.obj (took 0.04s | total elapsed: 1.19s)
[1797/9995] [1797 success|0 fail] [SUCCESS] model_1344059.obj (took 0.04s | total elapsed: 1.19s)
[1798/9995] [1798 success|0 fail] [SUCCESS] model_134612.obj (took 0.04s | total elapsed: 1.19s)
[1799/9995] [1799 success|0 fail] [SUCCESS] model_134609.obj (took 0.04s | total elapsed: 1.19s)
[1800/9995] [1800 success|0 fail] [SUCCESS] model_134603.obj (took 0.04s | total elapsed: 1.19s)
[1801/9995] [1801 success|0 fail] [SUCCESS] model_134611.obj (took 0.04s | total elapsed: 1.19s)
[1802/9995] [1802 success|0 fail] [SUCCESS] model_134617.obj (took 0.04s | total elapsed: 1.19s)
[1803/9995] [1803 success|0 fail] [SUCCESS] model_134613.obj (took 0.04s | total elapsed: 1.19s)
[1804/9995] [1804 success|0 fail] [SUCCESS] model_134622.obj (took 0.04s | total elapsed: 1.19s)
[1805/9995] [1805 success|0 fail] [SUCCESS] model_134623.obj (took 0.04s | total elapsed: 1.19s)
[1806/9995] [1806 success|0 fail] [SUCCESS] model_134619.obj (took 0.04s | total elapsed: 1.19s)
[1807/9995] [1807 success|0 fail] [SUCCESS] model_134618.obj (took 0.04s | total elapsed: 1.19s)
[1808/9995] [1808 success|0 fail] [SUCCESS] model_134630.obj (took 0.04s | total elapsed: 1.19s)
[1809/9995] [1809 success|0 fail] [SUCCESS] model_134624.obj (took 0.04s | total elapsed: 1.19s)
[1810/9995] [1810 success|0 fail] [SUCCESS] model_134621.obj (took 0.05s | total elapsed: 1.19s)
[1811/9995] [1811 success|0 fail] [SUCCESS] model_134633.obj (took 0.04s | total elapsed: 1.19s)
[1812/9995] [1812 success|0 fail] [SUCCESS] model_134636.obj (took 0.04s | total elapsed: 1.19s)
[1813/9995] [1813 success|0 fail] [SUCCESS] model_134637.obj (took 0.04s | total elapsed: 1.19s)
[1814/9995] [1814 success|0 fail] [SUCCESS] model_134631.obj (took 0.05s | total elapsed: 1.19s)
[1815/9995] [1815 success|0 fail] [SUCCESS] model_134705.obj (took 0.04s | total elapsed: 1.19s)
[1816/9995] [1816 success|0 fail] [SUCCESS] model_1349593.obj (took 0.04s | total elapsed: 1.20s)
[1817/9995] [1817 success|0 fail] [SUCCESS] model_135062.obj (took 0.04s | total elapsed: 1.20s)
[1818/9995] [1818 success|0 fail] [SUCCESS] model_135059.obj (took 0.04s | total elapsed: 1.20s)
[1819/9995] [1819 success|0 fail] [SUCCESS] model_135066.obj (took 0.04s | total elapsed: 1.20s)
[1820/9995] [1820 success|0 fail] [SUCCESS] model_135077.obj (took 0.04s | total elapsed: 1.20s)
[1821/9995] [1821 success|0 fail] [SUCCESS] model_135073.obj (took 0.04s | total elapsed: 1.20s)
[1822/9995] [1822 success|0 fail] [SUCCESS] model_135065.obj (took 0.04s | total elapsed: 1.20s)
[1823/9995] [1823 success|0 fail] [SUCCESS] model_135071.obj (took 0.04s | total elapsed: 1.20s)
[1824/9995] [1824 success|0 fail] [SUCCESS] model_135064.obj (took 0.04s | total elapsed: 1.20s)
[1825/9995] [1825 success|0 fail] [SUCCESS] model_135074.obj (took 0.04s | total elapsed: 1.20s)
[1826/9995] [1826 success|0 fail] [SUCCESS] model_135072.obj (took 0.04s | total elapsed: 1.20s)
[1827/9995] [1827 success|0 fail] [SUCCESS] model_135078.obj (took 0.04s | total elapsed: 1.20s)
[1828/9995] [1828 success|0 fail] [SUCCESS] model_135075.obj (took 0.04s | total elapsed: 1.20s)
[1829/9995] [1829 success|0 fail] [SUCCESS] model_135079.obj (took 0.04s | total elapsed: 1.20s)
[1830/9995] [1830 success|0 fail] [SUCCESS] model_135215.obj (took 0.04s | total elapsed: 1.20s)
[1831/9995] [1831 success|0 fail] [SUCCESS] model_135214.obj (took 0.04s | total elapsed: 1.20s)
[1832/9995] [1832 success|0 fail] [SUCCESS] model_1351747.obj (took 0.04s | total elapsed: 1.20s)
[1833/9995] [1833 success|0 fail] [SUCCESS] model_135216.obj (took 0.04s | total elapsed: 1.20s)
[1834/9995] [1834 success|0 fail] [SUCCESS] model_135217.obj (took 0.04s | total elapsed: 1.20s)
[1835/9995] [1835 success|0 fail] [SUCCESS] model_135218.obj (took 0.04s | total elapsed: 1.20s)
[1836/9995] [1836 success|0 fail] [SUCCESS] model_135219.obj (took 0.04s | total elapsed: 1.20s)
[1837/9995] [1837 success|0 fail] [SUCCESS] model_135221.obj (took 0.04s | total elapsed: 1.20s)
[1838/9995] [1838 success|0 fail] [SUCCESS] model_135220.obj (took 0.04s | total elapsed: 1.20s)
[1839/9995] [1839 success|0 fail] [SUCCESS] model_135363.obj (took 0.04s | total elapsed: 1.20s)
[1840/9995] [1840 success|0 fail] [SUCCESS] model_135364.obj (took 0.04s | total elapsed: 1.20s)
[1841/9995] [1841 success|0 fail] [SUCCESS] model_135222.obj (took 0.04s | total elapsed: 1.20s)
[1842/9995] [1842 success|0 fail] [SUCCESS] model_135365.obj (took 0.04s | total elapsed: 1.20s)
[1843/9995] [1843 success|0 fail] [SUCCESS] model_135455.obj (took 0.04s | total elapsed: 1.20s)
[1844/9995] [1844 success|0 fail] [SUCCESS] model_135457.obj (took 0.04s | total elapsed: 1.20s)
[1845/9995] [1845 success|0 fail] [SUCCESS] model_135456.obj (took 0.04s | total elapsed: 1.20s)
[1846/9995] [1846 success|0 fail] [SUCCESS] model_135458.obj (took 0.04s | total elapsed: 1.20s)
[1847/9995] [1847 success|0 fail] [SUCCESS] model_135461.obj (took 0.04s | total elapsed: 1.20s)
[1848/9995] [1848 success|0 fail] [SUCCESS] model_135459.obj (took 0.04s | total elapsed: 1.20s)
[1849/9995] [1849 success|0 fail] [SUCCESS] model_135462.obj (took 0.04s | total elapsed: 1.21s)
[1850/9995] [1850 success|0 fail] [SUCCESS] model_135460.obj (took 0.04s | total elapsed: 1.21s)
[1851/9995] [1851 success|0 fail] [SUCCESS] model_135493.obj (took 0.04s | total elapsed: 1.21s)
[1852/9995] [1852 success|0 fail] [SUCCESS] model_135465.obj (took 0.04s | total elapsed: 1.21s)
[1853/9995] [1853 success|0 fail] [SUCCESS] model_1356633.obj (took 0.04s | total elapsed: 1.21s)
[1854/9995] [1854 success|0 fail] [SUCCESS] model_1356635.obj (took 0.04s | total elapsed: 1.21s)
[1855/9995] [1855 success|0 fail] [SUCCESS] model_1356107.obj (took 0.04s | total elapsed: 1.21s)
[1856/9995] [1856 success|0 fail] [SUCCESS] model_1356637.obj (took 0.04s | total elapsed: 1.21s)
[1857/9995] [1857 success|0 fail] [SUCCESS] model_1356638.obj (took 0.04s | total elapsed: 1.21s)
[1858/9995] [1858 success|0 fail] [SUCCESS] model_1356634.obj (took 0.04s | total elapsed: 1.21s)
[1859/9995] [1859 success|0 fail] [SUCCESS] model_1356640.obj (took 0.04s | total elapsed: 1.21s)
[1860/9995] [1860 success|0 fail] [SUCCESS] model_1356641.obj (took 0.04s | total elapsed: 1.21s)
[1861/9995] [1861 success|0 fail] [SUCCESS] model_1356636.obj (took 0.04s | total elapsed: 1.21s)
[1862/9995] [1862 success|0 fail] [SUCCESS] model_1356642.obj (took 0.04s | total elapsed: 1.21s)
[1863/9995] [1863 success|0 fail] [SUCCESS] model_1356639.obj (took 0.04s | total elapsed: 1.21s)
[1864/9995] [1864 success|0 fail] [SUCCESS] model_1356649.obj (took 0.03s | total elapsed: 1.21s)
[1865/9995] [1865 success|0 fail] [SUCCESS] model_1356644.obj (took 0.03s | total elapsed: 1.21s)
[1866/9995] [1866 success|0 fail] [SUCCESS] model_1356645.obj (took 0.04s | total elapsed: 1.21s)
[1867/9995] [1867 success|0 fail] [SUCCESS] model_1356647.obj (took 0.03s | total elapsed: 1.21s)
[1868/9995] [1868 success|0 fail] [SUCCESS] model_1356648.obj (took 0.03s | total elapsed: 1.21s)
[1869/9995] [1869 success|0 fail] [SUCCESS] model_1356651.obj (took 0.03s | total elapsed: 1.21s)
[1870/9995] [1870 success|0 fail] [SUCCESS] model_1356650.obj (took 0.03s | total elapsed: 1.21s)
[1871/9995] [1871 success|0 fail] [SUCCESS] model_1356653.obj (took 0.03s | total elapsed: 1.21s)
[1872/9995] [1872 success|0 fail] [SUCCESS] model_135672.obj (took 0.03s | total elapsed: 1.21s)
[1873/9995] [1873 success|0 fail] [SUCCESS] model_135671.obj (took 0.03s | total elapsed: 1.21s)
[1874/9995] [1874 success|0 fail] [SUCCESS] model_1356652.obj (took 0.03s | total elapsed: 1.21s)
[1875/9995] [1875 success|0 fail] [SUCCESS] model_135675.obj (took 0.03s | total elapsed: 1.21s)
[1876/9995] [1876 success|0 fail] [SUCCESS] model_135674.obj (took 0.03s | total elapsed: 1.21s)
[1877/9995] [1877 success|0 fail] [SUCCESS] model_135676.obj (took 0.03s | total elapsed: 1.21s)
[1878/9995] [1878 success|0 fail] [SUCCESS] model_135673.obj (took 0.03s | total elapsed: 1.21s)
[1879/9995] [1879 success|0 fail] [SUCCESS] model_135677.obj (took 0.03s | total elapsed: 1.21s)
[1880/9995] [1880 success|0 fail] [SUCCESS] model_135701.obj (took 0.03s | total elapsed: 1.21s)
[1881/9995] [1881 success|0 fail] [SUCCESS] model_135753.obj (took 0.03s | total elapsed: 1.21s)
[1882/9995] [1882 success|0 fail] [SUCCESS] model_135757.obj (took 0.03s | total elapsed: 1.21s)
[1883/9995] [1883 success|0 fail] [SUCCESS] model_135771.obj (took 0.03s | total elapsed: 1.21s)
[1884/9995] [1884 success|0 fail] [SUCCESS] model_135792.obj (took 0.03s | total elapsed: 1.21s)
[1885/9995] [1885 success|0 fail] [SUCCESS] model_135730.obj (took 0.03s | total elapsed: 1.21s)
[1886/9995] [1886 success|0 fail] [SUCCESS] model_135777.obj (took 0.03s | total elapsed: 1.21s)
[1887/9995] [1887 success|0 fail] [SUCCESS] model_135790.obj (took 0.03s | total elapsed: 1.21s)
[1888/9995] [1888 success|0 fail] [SUCCESS] model_135803.obj (took 0.03s | total elapsed: 1.21s)
[1889/9995] [1889 success|0 fail] [SUCCESS] model_135793.obj (took 0.03s | total elapsed: 1.21s)
[1890/9995] [1890 success|0 fail] [SUCCESS] model_135789.obj (took 0.03s | total elapsed: 1.21s)
[1891/9995] [1891 success|0 fail] [SUCCESS] model_135804.obj (took 0.03s | total elapsed: 1.21s)
[1892/9995] [1892 success|0 fail] [SUCCESS] model_135805.obj (took 0.03s | total elapsed: 1.22s)
[1893/9995] [1893 success|0 fail] [SUCCESS] model_135806.obj (took 0.03s | total elapsed: 1.22s)
[1894/9995] [1894 success|0 fail] [SUCCESS] model_135810.obj (took 0.03s | total elapsed: 1.22s)
[1895/9995] [1895 success|0 fail] [SUCCESS] model_135808.obj (took 0.03s | total elapsed: 1.22s)
[1896/9995] [1896 success|0 fail] [SUCCESS] model_135807.obj (took 0.03s | total elapsed: 1.22s)
[1897/9995] [1897 success|0 fail] [SUCCESS] model_136167.obj (took 0.03s | total elapsed: 1.22s)
[1898/9995] [1898 success|0 fail] [SUCCESS] model_136023.obj (took 0.03s | total elapsed: 1.22s)
[1899/9995] [1899 success|0 fail] [SUCCESS] model_136235.obj (took 0.03s | total elapsed: 1.22s)
[1900/9995] [1900 success|0 fail] [SUCCESS] model_136074.obj (took 0.03s | total elapsed: 1.22s)
[1901/9995] [1901 success|0 fail] [SUCCESS] model_136236.obj (took 0.03s | total elapsed: 1.22s)
[1902/9995] [1902 success|0 fail] [SUCCESS] model_136385.obj (took 0.03s | total elapsed: 1.22s)
[1903/9995] [1903 success|0 fail] [SUCCESS] model_136024.obj (took 0.03s | total elapsed: 1.22s)
[1904/9995] [1904 success|0 fail] [SUCCESS] model_136243.obj (took 0.03s | total elapsed: 1.22s)
[1905/9995] [1905 success|0 fail] [SUCCESS] model_136393.obj (took 0.03s | total elapsed: 1.22s)
[1906/9995] [1906 success|0 fail] [SUCCESS] model_136404.obj (took 0.03s | total elapsed: 1.22s)
[1907/9995] [1907 success|0 fail] [SUCCESS] model_136394.obj (took 0.03s | total elapsed: 1.22s)
[1908/9995] [1908 success|0 fail] [SUCCESS] model_136397.obj (took 0.03s | total elapsed: 1.22s)
[1909/9995] [1909 success|0 fail] [SUCCESS] model_1366134.obj (took 0.03s | total elapsed: 1.22s)
[1910/9995] [1910 success|0 fail] [SUCCESS] model_136403.obj (took 0.03s | total elapsed: 1.22s)
[1911/9995] [1911 success|0 fail] [SUCCESS] model_136523.obj (took 0.03s | total elapsed: 1.22s)
[1912/9995] [1912 success|0 fail] [SUCCESS] model_136405.obj (took 0.03s | total elapsed: 1.22s)
[1913/9995] [1913 success|0 fail] [SUCCESS] model_136634.obj (took 0.03s | total elapsed: 1.22s)
[1914/9995] [1914 success|0 fail] [SUCCESS] model_136635.obj (took 0.03s | total elapsed: 1.22s)
[1915/9995] [1915 success|0 fail] [SUCCESS] model_136636.obj (took 0.03s | total elapsed: 1.22s)
[1916/9995] [1916 success|0 fail] [SUCCESS] model_136638.obj (took 0.03s | total elapsed: 1.22s)
[1917/9995] [1917 success|0 fail] [SUCCESS] model_136639.obj (took 0.03s | total elapsed: 1.22s)
[1918/9995] [1918 success|0 fail] [SUCCESS] model_136640.obj (took 0.03s | total elapsed: 1.22s)
[1919/9995] [1919 success|0 fail] [SUCCESS] model_1368053.obj (took 0.03s | total elapsed: 1.22s)
[1920/9995] [1920 success|0 fail] [SUCCESS] model_1368056.obj (took 0.03s | total elapsed: 1.22s)
[1921/9995] [1921 success|0 fail] [SUCCESS] model_1368054.obj (took 0.03s | total elapsed: 1.22s)
[1922/9995] [1922 success|0 fail] [SUCCESS] model_1368058.obj (took 0.03s | total elapsed: 1.22s)
[1923/9995] [1923 success|0 fail] [SUCCESS] model_1368057.obj (took 0.03s | total elapsed: 1.22s)
[1924/9995] [1924 success|0 fail] [SUCCESS] model_1368055.obj (took 0.03s | total elapsed: 1.22s)
[1925/9995] [1925 success|0 fail] [SUCCESS] model_1368059.obj (took 0.03s | total elapsed: 1.22s)
[1926/9995] [1926 success|0 fail] [SUCCESS] model_1368062.obj (took 0.03s | total elapsed: 1.23s)
[1927/9995] [1927 success|0 fail] [SUCCESS] model_1368061.obj (took 0.03s | total elapsed: 1.23s)
[1928/9995] [1928 success|0 fail] [SUCCESS] model_1368067.obj (took 0.03s | total elapsed: 1.23s)
[1929/9995] [1929 success|0 fail] [SUCCESS] model_1368064.obj (took 0.03s | total elapsed: 1.23s)
[1930/9995] [1930 success|0 fail] [SUCCESS] model_1368063.obj (took 0.03s | total elapsed: 1.23s)
[1931/9995] [1931 success|0 fail] [SUCCESS] model_1368068.obj (took 0.03s | total elapsed: 1.23s)
[1932/9995] [1932 success|0 fail] [SUCCESS] model_1368066.obj (took 0.03s | total elapsed: 1.23s)
[1933/9995] [1933 success|0 fail] [SUCCESS] model_1368070.obj (took 0.03s | total elapsed: 1.23s)
[1934/9995] [1934 success|0 fail] [SUCCESS] model_1368069.obj (took 0.03s | total elapsed: 1.23s)
[1935/9995] [1935 success|0 fail] [SUCCESS] model_1368075.obj (took 0.03s | total elapsed: 1.23s)
[1936/9995] [1936 success|0 fail] [SUCCESS] model_1368076.obj (took 0.03s | total elapsed: 1.23s)
[1937/9995] [1937 success|0 fail] [SUCCESS] model_1368074.obj (took 0.03s | total elapsed: 1.23s)
[1938/9995] [1938 success|0 fail] [SUCCESS] model_1368071.obj (took 0.03s | total elapsed: 1.23s)
[1939/9995] [1939 success|0 fail] [SUCCESS] model_1368073.obj (took 0.03s | total elapsed: 1.23s)
[1940/9995] [1940 success|0 fail] [SUCCESS] model_1368072.obj (took 0.03s | total elapsed: 1.23s)
[1941/9995] [1941 success|0 fail] [SUCCESS] model_1371988.obj (took 0.03s | total elapsed: 1.23s)
[1942/9995] [1942 success|0 fail] [SUCCESS] model_136935.obj (took 0.03s | total elapsed: 1.23s)
[1943/9995] [1943 success|0 fail] [SUCCESS] model_137229.obj (took 0.03s | total elapsed: 1.23s)
[1944/9995] [1944 success|0 fail] [SUCCESS] model_137707.obj (took 0.03s | total elapsed: 1.23s)
[1945/9995] [1945 success|0 fail] [SUCCESS] model_1378611.obj (took 0.03s | total elapsed: 1.23s)
[1946/9995] [1946 success|0 fail] [SUCCESS] model_137977.obj (took 0.03s | total elapsed: 1.23s)
[1947/9995] [1947 success|0 fail] [SUCCESS] model_137976.obj (took 0.03s | total elapsed: 1.23s)
[1948/9995] [1948 success|0 fail] [SUCCESS] model_138039.obj (took 0.03s | total elapsed: 1.23s)
[1949/9995] [1949 success|0 fail] [SUCCESS] model_138054.obj (took 0.03s | total elapsed: 1.23s)
[1950/9995] [1950 success|0 fail] [SUCCESS] model_138056.obj (took 0.03s | total elapsed: 1.23s)
[1951/9995] [1951 success|0 fail] [SUCCESS] model_138092.obj (took 0.03s | total elapsed: 1.23s)
[1952/9995] [1952 success|0 fail] [SUCCESS] model_138093.obj (took 0.03s | total elapsed: 1.23s)
[1953/9995] [1953 success|0 fail] [SUCCESS] model_138095.obj (took 0.03s | total elapsed: 1.23s)
[1954/9995] [1954 success|0 fail] [SUCCESS] model_138178.obj (took 0.03s | total elapsed: 1.23s)
[1955/9995] [1955 success|0 fail] [SUCCESS] model_138101.obj (took 0.03s | total elapsed: 1.23s)
[1956/9995] [1956 success|0 fail] [SUCCESS] model_138102.obj (took 0.03s | total elapsed: 1.23s)
[1957/9995] [1957 success|0 fail] [SUCCESS] model_138179.obj (took 0.03s | total elapsed: 1.23s)
[1958/9995] [1958 success|0 fail] [SUCCESS] model_138180.obj (took 0.03s | total elapsed: 1.23s)
[1959/9995] [1959 success|0 fail] [SUCCESS] model_138183.obj (took 0.03s | total elapsed: 1.23s)
[1960/9995] [1960 success|0 fail] [SUCCESS] model_138185.obj (took 0.03s | total elapsed: 1.23s)
[1961/9995] [1961 success|0 fail] [SUCCESS] model_138186.obj (took 0.03s | total elapsed: 1.23s)
[1962/9995] [1962 success|0 fail] [SUCCESS] model_138187.obj (took 0.03s | total elapsed: 1.23s)
[1963/9995] [1963 success|0 fail] [SUCCESS] model_138188.obj (took 0.03s | total elapsed: 1.24s)
[1964/9995] [1964 success|0 fail] [SUCCESS] model_138189.obj (took 0.03s | total elapsed: 1.24s)
[1965/9995] [1965 success|0 fail] [SUCCESS] model_138191.obj (took 0.03s | total elapsed: 1.24s)
[1966/9995] [1966 success|0 fail] [SUCCESS] model_138194.obj (took 0.03s | total elapsed: 1.24s)
[1967/9995] [1967 success|0 fail] [SUCCESS] model_138200.obj (took 0.03s | total elapsed: 1.24s)
[1968/9995] [1968 success|0 fail] [SUCCESS] model_138192.obj (took 0.03s | total elapsed: 1.24s)
[1969/9995] [1969 success|0 fail] [SUCCESS] model_138195.obj (took 0.03s | total elapsed: 1.24s)
[1970/9995] [1970 success|0 fail] [SUCCESS] model_138193.obj (took 0.03s | total elapsed: 1.24s)
[1971/9995] [1971 success|0 fail] [SUCCESS] model_138201.obj (took 0.03s | total elapsed: 1.24s)
[1972/9995] [1972 success|0 fail] [SUCCESS] model_138196.obj (took 0.03s | total elapsed: 1.24s)
[1973/9995] [1973 success|0 fail] [SUCCESS] model_138197.obj (took 0.03s | total elapsed: 1.24s)
[1974/9995] [1974 success|0 fail] [SUCCESS] model_138199.obj (took 0.03s | total elapsed: 1.24s)
[1975/9995] [1975 success|0 fail] [SUCCESS] model_138204.obj (took 0.03s | total elapsed: 1.24s)
[1976/9995] [1976 success|0 fail] [SUCCESS] model_138202.obj (took 0.03s | total elapsed: 1.24s)
[1977/9995] [1977 success|0 fail] [SUCCESS] model_138203.obj (took 0.03s | total elapsed: 1.24s)
[1978/9995] [1978 success|0 fail] [SUCCESS] model_138207.obj (took 0.03s | total elapsed: 1.24s)
[1979/9995] [1979 success|0 fail] [SUCCESS] model_138253.obj (took 0.03s | total elapsed: 1.24s)
[1980/9995] [1980 success|0 fail] [SUCCESS] model_138205.obj (took 0.03s | total elapsed: 1.24s)
[1981/9995] [1981 success|0 fail] [SUCCESS] model_138208.obj (took 0.03s | total elapsed: 1.24s)
[1982/9995] [1982 success|0 fail] [SUCCESS] model_1382594.obj (took 0.03s | total elapsed: 1.24s)
[1983/9995] [1983 success|0 fail] [SUCCESS] model_1382595.obj (took 0.03s | total elapsed: 1.24s)
[1984/9995] [1984 success|0 fail] [SUCCESS] model_1382593.obj (took 0.03s | total elapsed: 1.24s)
[1985/9995] [1985 success|0 fail] [SUCCESS] model_1382596.obj (took 0.03s | total elapsed: 1.24s)
[1986/9995] [1986 success|0 fail] [SUCCESS] model_1382598.obj (took 0.03s | total elapsed: 1.24s)
[1987/9995] [1987 success|0 fail] [SUCCESS] model_1382600.obj (took 0.03s | total elapsed: 1.24s)
[1988/9995] [1988 success|0 fail] [SUCCESS] model_1382597.obj (took 0.03s | total elapsed: 1.24s)
[1989/9995] [1989 success|0 fail] [SUCCESS] model_1382599.obj (took 0.03s | total elapsed: 1.24s)
[1990/9995] [1990 success|0 fail] [SUCCESS] model_1384321.obj (took 0.03s | total elapsed: 1.24s)
[1991/9995] [1991 success|0 fail] [SUCCESS] model_1382601.obj (took 0.03s | total elapsed: 1.24s)
[1992/9995] [1992 success|0 fail] [SUCCESS] model_1382602.obj (took 0.03s | total elapsed: 1.24s)
[1993/9995] [1993 success|0 fail] [SUCCESS] model_138557.obj (took 0.03s | total elapsed: 1.24s)
[1994/9995] [1994 success|0 fail] [SUCCESS] model_138581.obj (took 0.03s | total elapsed: 1.24s)
[1995/9995] [1995 success|0 fail] [SUCCESS] model_1387346.obj (took 0.03s | total elapsed: 1.24s)
[1996/9995] [1996 success|0 fail] [SUCCESS] model_1384322.obj (took 0.03s | total elapsed: 1.24s)
[1997/9995] [1997 success|0 fail] [SUCCESS] model_1389866.obj (took 0.03s | total elapsed: 1.24s)
[1998/9995] [1998 success|0 fail] [SUCCESS] model_1389867.obj (took 0.03s | total elapsed: 1.24s)
[1999/9995] [1999 success|0 fail] [SUCCESS] model_139429.obj (took 0.03s | total elapsed: 1.24s)
[2000/9995] [2000 success|0 fail] [SUCCESS] model_139430.obj (took 0.03s | total elapsed: 1.25s)
[2001/9995] [2001 success|0 fail] [SUCCESS] model_139623.obj (took 0.03s | total elapsed: 1.25s)
[2002/9995] [2002 success|0 fail] [SUCCESS] model_1395582.obj (took 0.03s | total elapsed: 1.25s)
[2003/9995] [2003 success|0 fail] [SUCCESS] model_1395584.obj (took 0.03s | total elapsed: 1.25s)
[2004/9995] [2004 success|0 fail] [SUCCESS] model_1395585.obj (took 0.03s | total elapsed: 1.25s)
[2005/9995] [2005 success|0 fail] [SUCCESS] model_139645.obj (took 0.03s | total elapsed: 1.25s)
[2006/9995] [2006 success|0 fail] [SUCCESS] model_1396886.obj (took 0.03s | total elapsed: 1.25s)
[2007/9995] [2007 success|0 fail] [SUCCESS] model_1396885.obj (took 0.03s | total elapsed: 1.25s)
[2008/9995] [2008 success|0 fail] [SUCCESS] model_139655.obj (took 0.03s | total elapsed: 1.25s)
[2009/9995] [2009 success|0 fail] [SUCCESS] model_139646.obj (took 0.03s | total elapsed: 1.25s)
[2010/9995] [2010 success|0 fail] [SUCCESS] model_1396889.obj (took 0.03s | total elapsed: 1.25s)
[2011/9995] [2011 success|0 fail] [SUCCESS] model_1396888.obj (took 0.03s | total elapsed: 1.25s)
[2012/9995] [2012 success|0 fail] [SUCCESS] model_1396891.obj (took 0.03s | total elapsed: 1.25s)
[2013/9995] [2013 success|0 fail] [SUCCESS] model_1396890.obj (took 0.03s | total elapsed: 1.25s)
[2014/9995] [2014 success|0 fail] [SUCCESS] model_1396893.obj (took 0.03s | total elapsed: 1.25s)
[2015/9995] [2015 success|0 fail] [SUCCESS] model_1396894.obj (took 0.03s | total elapsed: 1.25s)
[2016/9995] [2016 success|0 fail] [SUCCESS] model_1396892.obj (took 0.03s | total elapsed: 1.25s)
[2017/9995] [2017 success|0 fail] [SUCCESS] model_1396897.obj (took 0.03s | total elapsed: 1.25s)
[2018/9995] [2018 success|0 fail] [SUCCESS] model_1396902.obj (took 0.03s | total elapsed: 1.25s)
[2019/9995] [2019 success|0 fail] [SUCCESS] model_1396901.obj (took 0.03s | total elapsed: 1.25s)
[2020/9995] [2020 success|0 fail] [SUCCESS] model_1396898.obj (took 0.03s | total elapsed: 1.25s)
[2021/9995] [2021 success|0 fail] [SUCCESS] model_1396905.obj (took 0.03s | total elapsed: 1.25s)
[2022/9995] [2022 success|0 fail] [SUCCESS] model_1396899.obj (took 0.03s | total elapsed: 1.25s)
[2023/9995] [2023 success|0 fail] [SUCCESS] model_1396900.obj (took 0.03s | total elapsed: 1.25s)
[2024/9995] [2024 success|0 fail] [SUCCESS] model_1396904.obj (took 0.03s | total elapsed: 1.25s)
[2025/9995] [2025 success|0 fail] [SUCCESS] model_1396903.obj (took 0.03s | total elapsed: 1.25s)
[2026/9995] [2026 success|0 fail] [SUCCESS] model_1396906.obj (took 0.03s | total elapsed: 1.25s)
[2027/9995] [2027 success|0 fail] [SUCCESS] model_1396910.obj (took 0.03s | total elapsed: 1.25s)
[2028/9995] [2028 success|0 fail] [SUCCESS] model_1396908.obj (took 0.03s | total elapsed: 1.25s)
[2029/9995] [2029 success|0 fail] [SUCCESS] model_1396907.obj (took 0.03s | total elapsed: 1.25s)
[2030/9995] [2030 success|0 fail] [SUCCESS] model_1396911.obj (took 0.03s | total elapsed: 1.25s)
[2031/9995] [2031 success|0 fail] [SUCCESS] model_1396909.obj (took 0.03s | total elapsed: 1.25s)
[2032/9995] [2032 success|0 fail] [SUCCESS] model_139733.obj (took 0.03s | total elapsed: 1.25s)
[2033/9995] [2033 success|0 fail] [SUCCESS] model_139737.obj (took 0.03s | total elapsed: 1.25s)
[2034/9995] [2034 success|0 fail] [SUCCESS] model_139764.obj (took 0.03s | total elapsed: 1.25s)
[2035/9995] [2035 success|0 fail] [SUCCESS] model_139763.obj (took 0.03s | total elapsed: 1.25s)
[2036/9995] [2036 success|0 fail] [SUCCESS] model_1397588.obj (took 0.03s | total elapsed: 1.25s)
[2037/9995] [2037 success|0 fail] [SUCCESS] model_1399249.obj (took 0.03s | total elapsed: 1.25s)
[2038/9995] [2038 success|0 fail] [SUCCESS] model_139765.obj (took 0.03s | total elapsed: 1.25s)
[2039/9995] [2039 success|0 fail] [SUCCESS] model_139767.obj (took 0.03s | total elapsed: 1.25s)
[2040/9995] [2040 success|0 fail] [SUCCESS] model_139934.obj (took 0.03s | total elapsed: 1.25s)
[2041/9995] [2041 success|0 fail] [SUCCESS] model_140547.obj (took 0.03s | total elapsed: 1.25s)
[2042/9995] [2042 success|0 fail] [SUCCESS] model_140511.obj (took 0.03s | total elapsed: 1.26s)
